ID_CLIENT;AGE;BUDGET_MAX;MOTO_ACTUELLE;STYLE_DESIRE;DOULEUR_CLIENT;MOTS_CLES_IA
C-00431;40;10 200 €;Kawasaki Z650;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00432;36;9 400 €;Honda CB500F;Sportive Vintage;Les motos neuves manquent d'âme.;NOSTALGIE
C-00433;40;6 200 €;BMW NineT;Néo-Rétro 90s;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00434;26;9 400 €;Suzuki SV 650;Scrambler 80s;Je déteste le phare avant insecte.;FIABILITE_MODERNE
C-00435;37;10 500 €;BMW NineT;Néo-Rétro 90s;Je déteste le phare avant insecte.;BUDGET_SERRE
C-00436;28;10 400 €;Yamaha MT-07;Scrambler 80s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00437;21;9 000 €;Kawasaki Z900;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00438;51;10 000 €;BMW NineT;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00439;40;9 300 €;Kawasaki Z900;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;REJET_MANGA
C-00440;41;6 500 €;Honda Hornet;Néo-Rétro 90s;Les motos neuves manquent d'âme.;REJET_MANGA
C-00441;21;8 700 €;Suzuki SV 650;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00442;25;8 700 €;Suzuki SV 650;Sportive Vintage;Je déteste le phare avant insecte.;FIABILITE_MODERNE
C-00443;50;7 500 €;Kawasaki Z650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00444;34;7 000 €;Yamaha XSR 700;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00445;29;7 600 €;Kawasaki Z650;Sportive Vintage;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00446;41;7 800 €;Kawasaki Z650;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00447;45;9 400 €;Yamaha MT-07;Sportive Vintage;Je déteste le phare avant insecte.;REJET_MANGA
C-00448;27;6 000 €;Yamaha MT-07;Replica Bol d'Or;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00449;22;6 600 €;Yamaha XSR 700;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00450;46;8 900 €;Yamaha XSR 700;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;NOSTALGIE
C-00451;38;7 000 €;Honda Hornet;Scrambler 80s;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00452;44;9 300 €;Suzuki SV 650;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;REJET_MANGA
C-00453;30;6 200 €;Kawasaki Z900;Cyber-Punk 90s;Je déteste le phare avant insecte.;COULEUR_VINTAGE
C-00454;32;9 400 €;Yamaha MT-07;Cyber-Punk 90s;Les motos neuves manquent d'âme.;LOOK_CARRE
C-00455;34;7 800 €;Yamaha XSR 700;Café Racer Sportif;Je veux des couleurs flashy (Violet/Rose).;DESIR_90S
C-00456;54;6 700 €;BMW NineT;Cyber-Punk 90s;Les designs 'Manga' vieillissent mal.;COULEUR_VINTAGE
C-00457;38;7 000 €;Yamaha MT-07;Cyber-Punk 90s;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00458;50;7 900 €;Yamaha MT-07;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;BUDGET_SERRE
C-00459;48;8 300 €;Honda CB500F;Néo-Rétro 90s;Je déteste le phare avant insecte.;DESIR_90S
C-00460;23;9 800 €;BMW NineT;Replica Bol d'Or;Les designs 'Manga' vieillissent mal.;COULEUR_VINTAGE
C-00461;23;6 800 €;Honda Hornet;Café Racer Sportif;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00462;25;9 100 €;Kawasaki Z900;Cyber-Punk 90s;Les motos neuves manquent d'âme.;LOOK_CARRE
C-00463;25;9 600 €;Yamaha XSR 700;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00464;52;8 400 €;Yamaha XSR 700;Replica Bol d'Or;Les designs 'Manga' vieillissent mal.;COULEUR_VINTAGE
C-00465;21;10 300 €;Kawasaki Z900;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00466;44;10 800 €;BMW NineT;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00467;46;7 000 €;BMW NineT;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;FIABILITE_MODERNE
C-00468;44;9 700 €;Yamaha MT-07;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00469;38;9 500 €;BMW NineT;Café Racer Sportif;Je déteste le phare avant insecte.;COULEUR_VINTAGE
C-00470;28;7 300 €;Kawasaki Z650;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00471;44;8 700 €;BMW NineT;Sportive Vintage;Je déteste le phare avant insecte.;BUDGET_SERRE
C-00472;40;10 100 €;BMW NineT;Scrambler 80s;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00473;28;8 200 €;Honda Hornet;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00474;27;6 200 €;Yamaha XSR 700;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00475;35;10 100 €;Kawasaki Z900;Néo-Rétro 90s;Les motos neuves manquent d'âme.;NOSTALGIE
C-00476;52;7 500 €;Honda Hornet;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00477;55;6 900 €;Yamaha MT-07;Café Racer Sportif;Trop de plastique, pas assez de carénage.;LOOK_CARRE
C-00478;37;10 100 €;Suzuki SV 650;Café Racer Sportif;Je déteste le phare avant insecte.;BUDGET_SERRE
C-00479;39;8 100 €;Yamaha MT-07;Cyber-Punk 90s;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00480;51;6 100 €;Honda CB500F;Sportive Vintage;Les motos neuves manquent d'âme.;REJET_MANGA
C-00481;45;9 000 €;Yamaha MT-07;Cyber-Punk 90s;Les designs 'Manga' vieillissent mal.;LOOK_CARRE
C-00482;30;10 200 €;Yamaha XSR 700;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00483;38;7 100 €;Honda CB500F;Sportive Vintage;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00484;40;7 600 €;Yamaha MT-07;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00485;41;8 700 €;BMW NineT;Café Racer Sportif;Je déteste le phare avant insecte.;REJET_MANGA
C-00486;37;10 100 €;Honda Hornet;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00487;39;9 100 €;Kawasaki Z900;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;NOSTALGIE
C-00488;37;7 600 €;BMW NineT;Café Racer Sportif;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00489;53;6 100 €;Suzuki SV 650;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00490;23;7 000 €;Suzuki SV 650;Cyber-Punk 90s;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00491;54;10 400 €;Yamaha XSR 700;Néo-Rétro 90s;Je déteste le phare avant insecte.;FIABILITE_MODERNE
C-00492;24;9 100 €;Honda Hornet;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;COULEUR_VINTAGE
C-00493;24;8 200 €;Yamaha XSR 700;Sportive Vintage;Les motos neuves manquent d'âme.;NOSTALGIE
C-00494;47;9 300 €;Suzuki SV 650;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;DESIR_90S
C-00495;22;10 600 €;Honda Hornet;Replica Bol d'Or;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00496;51;10 400 €;Honda CB500F;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00497;55;8 800 €;Kawasaki Z650;Scrambler 80s;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00498;49;6 700 €;Kawasaki Z900;Cyber-Punk 90s;Je déteste le phare avant insecte.;REJET_MANGA
C-00499;49;7 100 €;Kawasaki Z650;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;NOSTALGIE
C-00500;37;10 000 €;Honda CB500F;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;REJET_MANGA
C-00501;20;6 600 €;BMW NineT;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;DESIR_90S
C-00502;30;10 800 €;Suzuki SV 650;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;REJET_MANGA
C-00503;42;9 200 €;Honda CB500F;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;LOOK_CARRE
C-00504;55;9 200 €;Honda Hornet;Scrambler 80s;Je déteste le phare avant insecte.;FIABILITE_MODERNE
C-00505;51;10 100 €;Yamaha XSR 700;Cyber-Punk 90s;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00506;35;8 100 €;Honda CB500F;Café Racer Sportif;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00507;45;10 200 €;BMW NineT;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;BUDGET_SERRE
C-00508;22;10 200 €;Honda CB500F;Café Racer Sportif;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00509;32;8 900 €;BMW NineT;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;DESIR_90S
C-00510;50;8 600 €;Yamaha XSR 700;Néo-Rétro 90s;Les motos neuves manquent d'âme.;NOSTALGIE
C-00511;32;9 700 €;Yamaha XSR 700;Replica Bol d'Or;Je déteste le phare avant insecte.;NOSTALGIE
C-00512;27;8 300 €;Kawasaki Z650;Cyber-Punk 90s;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00513;29;8 000 €;Honda CB500F;Café Racer Sportif;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00514;49;8 200 €;Honda CB500F;Cyber-Punk 90s;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00515;30;7 300 €;Honda CB500F;Café Racer Sportif;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00516;41;10 000 €;Kawasaki Z900;Néo-Rétro 90s;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00517;27;10 100 €;Yamaha MT-07;Replica Bol d'Or;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00518;46;10 800 €;BMW NineT;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;REJET_MANGA
C-00519;21;10 400 €;Kawasaki Z650;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00520;32;8 900 €;Honda CB500F;Replica Bol d'Or;Je veux des couleurs flashy (Violet/Rose).;NOSTALGIE
C-00521;23;7 800 €;Yamaha XSR 700;Cyber-Punk 90s;Trop de plastique, pas assez de carénage.;REJET_MANGA
C-00522;35;8 600 €;Honda CB500F;Cyber-Punk 90s;Trop de plastique, pas assez de carénage.;FIABILITE_MODERNE
C-00523;49;7 800 €;Suzuki SV 650;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00524;30;9 200 €;Suzuki SV 650;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;DESIR_90S
C-00525;48;10 300 €;Kawasaki Z900;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00526;29;6 600 €;Kawasaki Z900;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00527;36;10 000 €;Yamaha MT-07;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;LOOK_CARRE
C-00528;43;7 900 €;Kawasaki Z900;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;BUDGET_SERRE
C-00529;36;8 900 €;Honda Hornet;Café Racer Sportif;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00530;40;6 300 €;Yamaha MT-07;Néo-Rétro 90s;Les motos neuves manquent d'âme.;NOSTALGIE
C-00531;41;9 800 €;Suzuki SV 650;Café Racer Sportif;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00532;50;10 800 €;Honda CB500F;Replica Bol d'Or;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00533;39;10 400 €;Yamaha XSR 700;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00534;34;10 000 €;Kawasaki Z650;Replica Bol d'Or;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00535;20;11 000 €;Kawasaki Z650;Néo-Rétro 90s;Je déteste le phare avant insecte.;COULEUR_VINTAGE
C-00536;31;6 300 €;Honda Hornet;Replica Bol d'Or;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00537;36;10 700 €;Yamaha MT-07;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00538;55;8 700 €;Honda Hornet;Replica Bol d'Or;Trop de plastique, pas assez de carénage.;COULEUR_VINTAGE
C-00539;39;9 900 €;BMW NineT;Café Racer Sportif;Je déteste le phare avant insecte.;DESIR_90S
C-00540;48;6 300 €;BMW NineT;Néo-Rétro 90s;Je déteste le phare avant insecte.;DESIR_90S
C-00541;40;9 100 €;Yamaha XSR 700;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00542;21;9 800 €;Kawasaki Z900;Sportive Vintage;Je déteste le phare avant insecte.;FIABILITE_MODERNE
C-00543;53;10 000 €;Honda Hornet;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00544;41;7 900 €;BMW NineT;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;FIABILITE_MODERNE
C-00545;51;8 400 €;Yamaha MT-07;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00546;30;8 600 €;Kawasaki Z650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00547;20;9 200 €;Honda Hornet;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00548;27;6 000 €;Yamaha MT-07;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00549;37;9 000 €;Honda CB500F;Sportive Vintage;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00550;36;10 500 €;Honda CB500F;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00551;39;8 800 €;Yamaha XSR 700;Néo-Rétro 90s;Les motos neuves manquent d'âme.;DESIR_90S
C-00552;45;10 000 €;Yamaha XSR 700;Cyber-Punk 90s;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00553;24;6 500 €;Kawasaki Z900;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00554;34;10 900 €;Yamaha MT-07;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00555;36;7 300 €;Kawasaki Z650;Café Racer Sportif;Trop de plastique, pas assez de carénage.;REJET_MANGA
C-00556;55;7 500 €;Honda Hornet;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00557;54;9 100 €;Kawasaki Z650;Café Racer Sportif;Les motos neuves manquent d'âme.;DESIR_90S
C-00558;42;6 300 €;Kawasaki Z900;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00559;42;9 900 €;Yamaha XSR 700;Scrambler 80s;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00560;42;7 100 €;Kawasaki Z650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00561;27;7 000 €;Suzuki SV 650;Sportive Vintage;Les motos neuves manquent d'âme.;REJET_MANGA
C-00562;50;8 000 €;Yamaha MT-07;Cyber-Punk 90s;Je veux des couleurs flashy (Violet/Rose).;DESIR_90S
C-00563;45;8 800 €;BMW NineT;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00564;39;9 800 €;Honda Hornet;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;FIABILITE_MODERNE
C-00565;42;11 000 €;Yamaha XSR 700;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;LOOK_CARRE
C-00566;46;10 600 €;Yamaha XSR 700;Scrambler 80s;Les motos neuves manquent d'âme.;DESIR_90S
C-00567;29;10 400 €;Kawasaki Z900;Cyber-Punk 90s;Je veux des couleurs flashy (Violet/Rose).;DESIR_90S
C-00568;47;7 200 €;Honda CB500F;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00569;23;8 000 €;Kawasaki Z650;Café Racer Sportif;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00570;40;8 200 €;Kawasaki Z650;Scrambler 80s;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00571;49;7 400 €;Kawasaki Z650;Replica Bol d'Or;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00572;54;8 900 €;Kawasaki Z650;Scrambler 80s;Je déteste le phare avant insecte.;DESIR_90S
C-00573;40;10 900 €;Kawasaki Z650;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;REJET_MANGA
C-00574;20;9 400 €;BMW NineT;Scrambler 80s;Trop de plastique, pas assez de carénage.;LOOK_CARRE
C-00575;39;10 200 €;Kawasaki Z650;Café Racer Sportif;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00576;22;7 800 €;Honda Hornet;Scrambler 80s;Je déteste le phare avant insecte.;NOSTALGIE
C-00577;21;8 300 €;Honda Hornet;Café Racer Sportif;Je déteste le phare avant insecte.;BUDGET_SERRE
C-00578;41;7 000 €;Yamaha MT-07;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00579;46;10 100 €;Honda CB500F;Café Racer Sportif;Je déteste le phare avant insecte.;COULEUR_VINTAGE
C-00580;43;7 700 €;Honda CB500F;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00581;34;8 100 €;Kawasaki Z900;Scrambler 80s;Les motos neuves manquent d'âme.;REJET_MANGA
C-00582;52;7 600 €;Kawasaki Z650;Néo-Rétro 90s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00583;28;6 800 €;Yamaha MT-07;Néo-Rétro 90s;Les motos neuves manquent d'âme.;NOSTALGIE
C-00584;47;8 500 €;Yamaha XSR 700;Cyber-Punk 90s;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00585;33;9 400 €;Honda CB500F;Néo-Rétro 90s;Les motos neuves manquent d'âme.;NOSTALGIE
C-00586;39;9 400 €;BMW NineT;Café Racer Sportif;Les motos neuves manquent d'âme.;DESIR_90S
C-00587;54;7 000 €;Suzuki SV 650;Néo-Rétro 90s;Je déteste le phare avant insecte.;LOOK_CARRE
C-00588;55;7 500 €;BMW NineT;Cyber-Punk 90s;Trop de plastique, pas assez de carénage.;FIABILITE_MODERNE
C-00589;36;6 900 €;Suzuki SV 650;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;FIABILITE_MODERNE
C-00590;39;6 900 €;Suzuki SV 650;Sportive Vintage;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00591;53;9 200 €;Yamaha XSR 700;Cyber-Punk 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00592;47;8 800 €;Kawasaki Z650;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00593;29;7 900 €;Honda CB500F;Café Racer Sportif;Je déteste le phare avant insecte.;BUDGET_SERRE
C-00594;53;6 400 €;Honda CB500F;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00595;47;9 000 €;Honda Hornet;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00596;40;6 900 €;Honda Hornet;Scrambler 80s;Les designs 'Manga' vieillissent mal.;FIABILITE_MODERNE
C-00597;33;10 300 €;Suzuki SV 650;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00598;42;8 700 €;Kawasaki Z900;Néo-Rétro 90s;Je déteste le phare avant insecte.;REJET_MANGA
C-00599;22;8 900 €;Honda CB500F;Café Racer Sportif;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00600;46;10 000 €;Kawasaki Z650;Café Racer Sportif;Je déteste le phare avant insecte.;COULEUR_VINTAGE
C-00601;25;6 400 €;Kawasaki Z650;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;FIABILITE_MODERNE
C-00602;21;6 400 €;Honda CB500F;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00603;22;10 200 €;Yamaha XSR 700;Sportive Vintage;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00604;34;9 400 €;Honda Hornet;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00605;30;6 800 €;Kawasaki Z650;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00606;52;8 500 €;Yamaha MT-07;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;NOSTALGIE
C-00607;31;9 000 €;Yamaha XSR 700;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00608;34;8 100 €;Honda Hornet;Scrambler 80s;Les motos neuves manquent d'âme.;REJET_MANGA
C-00609;22;6 100 €;Suzuki SV 650;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;DESIR_90S
C-00610;24;8 800 €;Suzuki SV 650;Néo-Rétro 90s;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00611;30;7 100 €;Yamaha XSR 700;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00612;24;6 400 €;Suzuki SV 650;Scrambler 80s;Je déteste le phare avant insecte.;DESIR_90S
C-00613;45;8 800 €;Yamaha XSR 700;Cyber-Punk 90s;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00614;34;10 500 €;Yamaha MT-07;Café Racer Sportif;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00615;22;7 300 €;Honda Hornet;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00616;55;9 400 €;Kawasaki Z900;Scrambler 80s;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00617;46;10 600 €;Honda Hornet;Café Racer Sportif;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00618;33;7 100 €;Kawasaki Z900;Replica Bol d'Or;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00619;45;6 500 €;Honda Hornet;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;FIABILITE_MODERNE
C-00620;40;10 400 €;Kawasaki Z900;Sportive Vintage;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00621;37;7 000 €;Yamaha MT-07;Replica Bol d'Or;Interdit de rouler en ville avec ma vieille moto (ZFE).;DESIR_90S
C-00622;55;6 200 €;BMW NineT;Café Racer Sportif;Les motos neuves manquent d'âme.;DESIR_90S
C-00623;51;10 900 €;BMW NineT;Néo-Rétro 90s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00624;21;9 500 €;Honda CB500F;Replica Bol d'Or;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00625;55;9 100 €;Honda Hornet;Sportive Vintage;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00626;21;9 100 €;Yamaha MT-07;Café Racer Sportif;Trop de plastique, pas assez de carénage.;LOOK_CARRE
C-00627;46;10 000 €;Suzuki SV 650;Sportive Vintage;Les designs 'Manga' vieillissent mal.;FIABILITE_MODERNE
C-00628;42;7 000 €;Suzuki SV 650;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00629;34;8 900 €;Kawasaki Z900;Scrambler 80s;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00630;34;7 800 €;Suzuki SV 650;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00631;34;10 200 €;Honda CB500F;Sportive Vintage;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00632;27;11 000 €;Honda Hornet;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00633;44;10 900 €;Suzuki SV 650;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;LOOK_CARRE
C-00634;24;6 000 €;Suzuki SV 650;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00635;34;9 900 €;Honda Hornet;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;DESIR_90S
C-00636;52;6 000 €;BMW NineT;Sportive Vintage;Trop de plastique, pas assez de carénage.;REJET_MANGA
C-00637;55;8 800 €;Yamaha MT-07;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00638;28;8 300 €;Yamaha MT-07;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00639;51;9 000 €;Kawasaki Z900;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;REJET_MANGA
C-00640;31;8 400 €;Kawasaki Z900;Sportive Vintage;Trop de plastique, pas assez de carénage.;LOOK_CARRE
C-00641;28;8 200 €;Suzuki SV 650;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;LOOK_CARRE
C-00642;54;9 800 €;Kawasaki Z900;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;LOOK_CARRE
C-00643;30;6 300 €;Kawasaki Z650;Replica Bol d'Or;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00644;27;7 800 €;Honda CB500F;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00645;33;8 500 €;Kawasaki Z650;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00646;21;8 200 €;Honda Hornet;Néo-Rétro 90s;Je déteste le phare avant insecte.;DESIR_90S
C-00647;37;10 000 €;Kawasaki Z650;Scrambler 80s;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00648;40;9 200 €;Kawasaki Z650;Cyber-Punk 90s;Trop de plastique, pas assez de carénage.;DESIR_90S
C-00649;33;6 900 €;Honda Hornet;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
